time,time_sim,age_sim,hour_sim,arm_selected,reward
2024-01-20 23:11:22,2024-01-21 22:00:11,37,22,option3,1
2024-01-20 23:11:23,2024-01-21 09:00:01,56,9,option3,1
2024-01-20 23:11:24,2024-01-21 05:00:13,1,5,option1,0
2024-01-20 23:11:24,2024-01-21 16:00:39,59,16,option3,1
2024-01-20 23:11:25,2024-01-22 01:00:33,4,1,option2,0
2024-01-20 23:11:25,2024-01-21 22:00:02,112,22,option1,0
2024-01-20 23:11:26,2024-01-22 15:00:04,13,15,option3,0
2024-01-20 23:11:26,2024-01-21 13:00:32,22,13,option2,1
2024-01-20 23:11:27,2024-01-22 12:00:36,22,12,option2,0
2024-01-20 23:11:28,2024-01-21 07:00:15,59,7,option1,0
2024-01-20 23:11:28,2024-01-21 04:00:14,81,4,option3,1
2024-01-20 23:11:29,2024-01-22 11:00:40,74,11,option1,0
2024-01-20 23:11:29,2024-01-21 19:00:14,56,19,option3,1
2024-01-20 23:11:30,2024-01-22 02:00:48,18,2,option2,0
